iter	Passed	Remaining
579	6382	4621
580	6394	4611
581	6401	4597
582	6410	4584
583	6418	4572
584	6430	4561
585	6436	4547
586	6446	4535
587	6457	4524
588	6467	4513
589	6475	4499
590	6485	4488
591	6498	4478
592	6508	4467
593	6519	4455
594	6530	4445
595	6540	4433
596	6549	4421
597	6561	4410
598	6567	4396
599	6578	4385
600	6591	4376
601	6597	4361
602	6606	4349
603	6612	4335
604	6624	4324
605	6629	4310
606	6640	4299
607	6657	4292
608	6665	4279
609	6672	4266
610	6679	4252
611	6690	4241
612	6697	4228
613	6710	4218
614	6721	4208
615	6729	4195
616	6745	4187
617	6760	4178
618	6776	4170
619	6786	4159
620	6795	4147
621	6804	4134
622	6818	4126
623	6827	4113
624	6838	4102
625	6851	4093
626	6860	4081
627	6871	4070
628	6882	4059
629	6890	4047
630	6898	4034
631	6913	4025
632	6922	4013
633	6931	4001
634	6943	3991
635	6955	3980
636	6964	3968
637	6978	3959
638	6983	3945
639	6995	3934
640	7007	3924
641	7014	3911
642	7022	3898
643	7030	3886
644	7042	3876
645	7047	3862
646	7057	3850
647	7070	3840
648	7076	3827
649	7085	3815
650	7096	3804
651	7108	3794
652	7118	3782
653	7133	3773
654	7142	3762
655	7151	3750
656	7158	3737
657	7173	3728
658	7179	3715
659	7189	3703
660	7201	3693
661	7207	3680
662	7217	3668
663	7225	3656
664	7237	3646
665	7244	3633
666	7256	3622
667	7270	3613
668	7280	3601
669	7287	3589
670	7301	3579
671	7308	3567
672	7319	3556
673	7335	3548
674	7352	3540
675	7370	3532
676	7380	3521
677	7388	3509
678	7406	3501
679	7416	3490
680	7432	3481
681	7442	3470
682	7450	3457
683	7464	3448
684	7473	3436
685	7481	3424
686	7495	3415
687	7506	3404
688	7516	3392
689	7527	3382
690	7538	3371
691	7546	3358
692	7555	3346
693	7563	3335
694	7573	3323
695	7585	3313
696	7594	3301
697	7600	3288
698	7608	3276
699	7615	3263
700	7624	3252
701	7629	3238
702	7640	3227
703	7651	3217
704	7660	3205
705	7668	3193
706	7680	3182
707	7689	3171
708	7694	3158
709	7704	3146
710	7717	3137
711	7725	3124
712	7736	3114
713	7753	3105
714	7760	3093
715	7770	3082
716	7781	3071
717	7787	3058
718	7795	3046
719	7807	3036
720	7817	3025
721	7824	3012
722	7835	3002
723	7851	2993
724	7858	2980
725	7868	2969
726	7882	2959
727	7888	2947
728	7899	2936
729	7916	2927
730	7927	2917
731	7938	2906
732	7948	2895
733	7956	2883
734	7969	2873
735	7980	2862
736	7991	2851
737	8003	2841
738	8013	2830
739	8022	2818
740	8031	2807
741	8044	2797
742	8056	2786
743	8069	2776
744	8082	2766
745	8091	2755
746	8108	2746
747	8118	2734
748	8134	2725
749	8143	2714
750	8156	2704
751	8169	2694
752	8175	2681
753	8187	2671
754	8200	2661
755	8206	2648
756	8217	2637
757	8231	2627
758	8238	2615
759	8248	2604
760	8255	2592
761	8267	2582
762	8272	2569
763	8280	2557
764	8286	2545
765	8298	2535
766	8305	2523
767	8316	2512
768	8332	2502
769	8338	2490
770	8346	2479
771	8359	2468
772	8367	2457
773	8377	2446
774	8383	2434
775	8395	2423
776	8401	2411
777	8411	2400
778	8425	2390
779	8431	2378
780	8441	2367
781	8452	2356
782	8460	2344
783	8465	2332
784	8474	2321
785	8486	2310
786	8493	2298
787	8502	2287
788	8516	2277
789	8526	2266
790	8536	2255
791	8543	2243
792	8555	2233
793	8563	2221
794	8575	2211
795	8585	2200
796	8591	2188
797	8600	2177
798	8611	2166
799	8620	2155
800	8630	2144
801	8641	2133
802	8651	2122
803	8656	2110
804	8665	2098
805	8672	2087
806	8684	2076
807	8691	2065
808	8700	2054
809	8714	2044
810	8723	2033
811	8735	2022
812	8748	2012
813	8752	2000
814	8761	1988
815	8773	1978
816	8782	1967
817	8792	1956
818	8804	1945
819	8813	1934
820	8821	1923
821	8830	1912
822	8843	1901
823	8847	1889
824	8855	1878
825	8862	1866
826	8876	1856
827	8881	1845
828	8892	1834
829	8909	1824
830	8919	1813
831	8934	1804
832	8949	1794
833	8959	1783
834	8971	1772
835	8979	1761
836	8990	1750
837	9005	1740
838	9018	1730
839	9030	1720
840	9040	1709
841	9049	1698
842	9057	1686
843	9073	1677
844	9082	1665
845	9095	1655
846	9104	1644
847	9115	1633
848	9128	1623
849	9137	1612
850	9147	1601
851	9156	1590
852	9170	1580
853	9183	1569
854	9197	1559
855	9209	1549
856	9224	1539
857	9232	1527
858	9239	1516
859	9248	1505
860	9258	1494
861	9266	1483
862	9274	1472
863	9286	1461
864	9297	1451
865	9304	1439
866	9313	1428
867	9326	1418
868	9332	1406
869	9342	1395
870	9350	1384
871	9363	1374
872	9373	1363
873	9381	1352
874	9392	1341
875	9398	1330
876	9408	1319
